J,M,A,Tirage,#1,#2,#3,#4,#5,#6,Comp
18,sept.,2024,24113,2,5,23,42,44,47,0
16,sept.,2024,24112,27,31,48,30,17,8,0
14,sept.,2024,24111,15,32,11,49,6,4,0
11,sept.,2024,24110,28,30,10,39,24,5,0
9,sept.,2024,24109,18,8,41,17,3,3,0
7,sept.,2024,24108,48,43,31,9,15,9,0
4,sept.,2024,24107,4,2,26,22,40,8,0
2,sept.,2024,24106,27,12,26,6,5,6,0
31,aout,2024,24105,43,18,28,40,14,1,0
28,aout,2024,24104,42,30,11,33,37,3,0
26,aout,2024,24103,6,28,3,12,24,2,0
24,aout,2024,24102,13,29,30,20,36,5,0
21,aout,2024,24101,3,20,15,31,19,7,0
19,aout,2024,24100,10,18,20,19,28,5,0
17,aout,2024,24099,3,4,22,48,49,1,0
14,aout,2024,24098,25,17,46,28,23,5,0
12,aout,2024,24097,16,18,45,38,31,8,0
10,aout,2024,24096,36,31,37,28,17,10,0
7,aout,2024,24095,27,47,24,39,46,9,0
5,aout,2024,24094,24,21,7,31,27,3,0
3,aout,2024,24093,47,4,2,14,34,2,0
31,juillet,2024,24092,25,3,45,47,49,7,0
29,juillet,2024,24091,20,22,32,34,31,7,0
27,juillet,2024,24090,21,8,28,42,47,4,0
24,juillet,2024,24089,40,11,18,8,47,2,0
22,juillet,2024,24088,49,35,25,27,42,9,0
20,juillet,2024,24087,5,30,16,47,15,7,0
17,juillet,2024,24086,35,40,17,6,47,4,0
15,juillet,2024,24085,4,10,30,38,24,10,0
13,juillet,2024,24084,21,5,6,24,42,8,0
10,juillet,2024,24083,16,3,5,39,11,9,0
8,juillet,2024,24082,7,42,31,8,24,6,0
6,juillet,2024,24081,46,13,47,18,34,5,0
3,juillet,2024,24080,4,1,24,21,42,3,0
1,juillet,2024,24079,22,7,28,6,3,7,0
29,juin,2024,24078,17,24,30,43,1,7,0
26,juin,2024,24077,21,10,38,41,25,8,0
24,juin,2024,24076,48,47,6,45,1,6,0
22,juin,2024,24075,10,34,25,38,29,3,0
19,juin,2024,24074,35,11,18,46,30,2,0
17,juin,2024,24073,28,6,11,46,25,2,0
15,juin,2024,24072,8,16,42,30,40,2,0
12,juin,2024,24071,28,3,6,33,13,4,0
10,juin,2024,24070,47,5,34,28,39,8,0
8,juin,2024,24069,35,39,18,43,31,7,0
5,juin,2024,24068,4,6,35,47,7,1,0
3,juin,2024,24067,9,15,39,49,48,7,0
1,juin,2024,24066,27,2,48,43,3,8,0
29,mai,2024,24065,10,19,28,38,37,7,0
27,mai,2024,24064,41,19,32,42,47,1,0
25,mai,2024,24063,19,26,42,18,20,1,0
22,mai,2024,24062,46,23,21,32,20,10,0
20,mai,2024,24061,12,32,36,6,29,8,0
18,mai,2024,24060,14,34,37,15,45,2,0
15,mai,2024,24059,21,16,9,20,15,1,0
13,mai,2024,24058,26,13,25,12,18,4,0
11,mai,2024,24057,6,39,24,13,43,8,0
8,mai,2024,24056,7,34,6,3,36,7,0
6,mai,2024,24055,1,4,35,39,21,5,0
4,mai,2024,24054,2,16,19,12,6,3,0
1,mai,2024,24053,17,42,25,5,15,7,0
29,avril,2024,24052,49,47,20,3,30,7,0
27,avril,2024,24051,18,34,27,14,44,6,0
24,avril,2024,24050,38,25,40,41,39,7,0
22,avril,2024,24049,48,20,39,8,47,1,0
20,avril,2024,24048,13,10,22,24,16,7,0
17,avril,2024,24047,48,6,8,17,24,10,0
15,avril,2024,24046,24,2,21,36,31,6,0
13,avril,2024,24045,45,7,29,19,38,8,0
10,avril,2024,24044,18,1,33,9,39,2,0
8,avril,2024,24043,2,22,46,21,49,9,0
6,avril,2024,24042,27,2,36,43,6,5,0
3,avril,2024,24041,26,46,5,12,36,4,0
1,avril,2024,24040,9,17,15,12,26,8,0
30,mars,2024,24039,40,41,28,8,42,2,0
27,mars,2024,24038,28,45,2,15,23,7,0
25,mars,2024,24037,37,1,22,26,31,5,0
23,mars,2024,24036,47,49,20,34,32,1,0
20,mars,2024,24035,24,46,3,22,32,5,0
18,mars,2024,24034,36,48,30,20,40,8,0
16,mars,2024,24033,12,10,37,25,49,2,0
13,mars,2024,24032,5,29,4,10,13,1,0
11,mars,2024,24031,18,48,36,16,45,10,0
9,mars,2024,24030,29,28,25,7,35,2,0
6,mars,2024,24029,12,8,43,46,49,8,0
4,mars,2024,24028,25,8,18,27,37,8,0
2,mars,2024,24027,20,13,27,26,17,4,0
28,fev.,2024,24026,2,38,46,27,43,3,0
26,fev.,2024,24025,7,45,30,8,20,10,0
24,fev.,2024,24024,14,45,37,22,25,3,0
21,fev.,2024,24023,42,22,9,33,45,3,0
19,fev.,2024,24022,35,23,16,42,8,2,0
17,fev.,2024,24021,2,19,13,23,36,3,0
14,fev.,2024,24020,28,15,3,46,36,2,0
12,fev.,2024,24019,36,40,5,30,43,1,0
10,fev.,2024,24018,44,15,37,34,40,8,0
7,fev.,2024,24017,24,13,23,6,34,4,0
5,fev.,2024,24016,36,3,33,34,42,2,0
3,fev.,2024,24015,42,4,23,15,12,1,0
31,janv.,2024,24014,34,2,13,15,31,8,0
29,janv.,2024,24013,27,26,8,9,15,4,0
27,janv.,2024,24012,47,2,14,33,30,5,0
24,janv.,2024,24011,25,9,34,31,32,5,0
22,janv.,2024,24010,32,29,37,20,5,9,0
20,janv.,2024,24009,19,41,42,43,45,2,0
17,janv.,2024,24008,29,8,37,22,39,10,0
15,janv.,2024,24007,11,7,15,23,19,4,0
13,janv.,2024,24006,12,15,21,29,48,6,0
10,janv.,2024,24005,12,28,32,45,38,9,0
8,janv.,2024,24004,6,48,11,49,46,2,0
6,janv.,2024,24003,49,19,22,40,45,2,0
3,janv.,2024,24002,36,1,45,9,14,3,0
1,janv.,2024,24001,4,41,16,13,6,10,0
30,dec.,2023,23156,36,12,7,11,38,6,0
27,dec.,2023,23155,16,41,26,28,13,8,0
25,dec.,2023,23154,9,32,7,47,1,1,0
23,dec.,2023,23153,39,28,26,5,29,10,0
20,dec.,2023,23152,2,3,29,30,31,10,0
18,dec.,2023,23151,30,3,15,41,16,9,0
16,dec.,2023,23150,1,15,12,30,44,1,0
13,dec.,2023,23149,4,19,22,18,7,10,0
11,dec.,2023,23148,25,48,16,12,49,10,0
9,dec.,2023,23147,40,34,36,28,15,10,0
6,dec.,2023,23146,29,1,43,37,27,7,0
